what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.update.configurator,3.3.100.v20100512,"org.eclipse.update.configurator",1342375951917
started,bundle,org.eclipse.update.core,3.2.500.v20110330,"org.eclipse.update.core",1342375951917
started,bundle,org.eclipse.update.scheduler,3.2.300.v20100512,"org.eclipse.update.scheduler",1342375951918
os,sysinfo,,,"win32",1342375951919
arch,sysinfo,,,"x86_64",1342375951919
ws,sysinfo,,,"win32",1342375951919
locale,sysinfo,,,"en_GB",1342375951919
processors,sysinfo,,,"4",1342375951919
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1342375951919
java.runtime.version,sysinfo,,,"1.6.0_27-b07",1342375951919
java.specification.name,sysinfo,,,"Java Platform API Specification",1342375951919
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1342375951919
java.specification.version,sysinfo,,,"1.6",1342375951919
java.vendor,sysinfo,,,"Sun Microsystems Inc.",1342375951919
java.version,sysinfo,,,"1.6.0_27",1342375951919
java.vm.info,sysinfo,,,"mixed mode",1342375951919
java.vm.name,sysinfo,,,"Java HotSpot(TM) 64-Bit Server VM",1342375951919
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1342375951919
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1342375951919
java.vm.specification.version,sysinfo,,,"1.0",1342375951919
java.vm.vendor,sysinfo,,,"Sun Microsystems Inc.",1342375951919
java.vm.version,sysinfo,,,"20.2-b06",1342375951919
activated,view,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.PackageExplorer",1342376003585
activated,view,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.PackageExplorer",1342376003610
closed,view,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.internal.introview",1342376003625
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1342376008431
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1342376012776
closed,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1342376012863
started,bundle,org.eclipse.core.filesystem,1.3.100.v20110423-0524,"org.eclipse.core.filesystem",1342376013229
started,bundle,org.eclipse.compare.core,3.5.200.I20110208-0800,"org.eclipse.compare.core",1342376013365
started,bundle,org.eclipse.compare,3.5.200.I20110525-0800,"org.eclipse.compare",1342376013369
error,log,,,"Invalid preference page path: XML Syntax",1342376013469
stopped,bundle,org.eclipse.mylyn.ide.ant,3.6.0.v20110608-1400,"org.eclipse.mylyn.ide.ant",1342376013537
stopped,bundle,org.eclipse.emf.eef.codegen.ecore,1.0.0.v20110608-0819,"org.eclipse.emf.eef.codegen.ecore",1342376013537
